concept_id,concept_name,concept_code,vocabulary_id
44135595,0.75 ML Epoetin Alfa 40000 UNT/ML Injection [Eprex] by Janssen,OMOP1130226,RxNorm Extension
44135591,0.75 ML Epoetin Alfa 40000 UNT/ML Injection [Eprex],OMOP1130222,RxNorm Extension
44132946,0.8 ML Epoetin Alfa 10000 UNT/ML Injectable Solution [Eprex Solution Ml] Box of 6 by Janssen,OMOP1127577,RxNorm Extension
44132945,0.8 ML Epoetin Alfa 10000 UNT/ML Injectable Solution [Eprex Solution Ml] Box of 6,OMOP1127576,RxNorm Extension
44132801,0.5 ML Epoetin Alfa 4000 UNT/ML Injection [Eprex] Box of 6,OMOP1127432,RxNorm Extension
44132759,0.5 ML Epoetin Alfa 40000 UNT/ML Injection [Eprex],OMOP1127390,RxNorm Extension
44132584,0.5 ML Epoetin Alfa 4000 UNT/ML Injection [Eprex],OMOP1127215,RxNorm Extension
44132556,0.5 ML Epoetin Alfa 40000 UNT/ML Injection [Eprex] by Janssen,OMOP1127187,RxNorm Extension
44132555,0.5 ML Epoetin Alfa 4000 UNT/ML Injection [Eprex] Box of 6 by Janssen,OMOP1127186,RxNorm Extension
44112250,Epoetin Alfa 20000 UNT/ML Injection [Eprex],OMOP1106881,RxNorm Extension
44102404,Epoetin Alfa 2000 UNT/ML Injection [Eprex] by Janssen,OMOP1097035,RxNorm Extension
44089382,Epoetin Alfa 40000 UNT/ML Injection [Eprex] by Janssen,OMOP1084013,RxNorm Extension
44089381,Epoetin Alfa 20000 UNT/ML Injection [Eprex] by Janssen,OMOP1084012,RxNorm Extension
44073577,Epoetin Alfa 4000 UNT/ML Injection [Eprex],OMOP1068208,RxNorm Extension
44063810,Epoetin Alfa 4000 UNT/ML Injection [Eprex] by Janssen,OMOP1058441,RxNorm Extension
44060784,Epoetin Alfa 10000 UNT/ML Injection [Eprex Solution Ml] Box of 6,OMOP1055415,RxNorm Extension
44047747,Epoetin Alfa 40000 UNT/ML Injection [Eprex],OMOP1042378,RxNorm Extension
44047746,Epoetin Alfa 2000 UNT/ML Injection [Eprex],OMOP1042377,RxNorm Extension
44047745,Epoetin Alfa 4000 UNT/ML Injection [Eprex] Box of 6,OMOP1042376,RxNorm Extension
44045740,Epoetin Alfa 20000 UNT/ML Injection,OMOP1040371,RxNorm Extension
44044280,Epoetin Alfa Injection [Eprex],OMOP1038911,RxNorm Extension
44037636,Epoetin Alfa 10000 UNT/ML Injection [Eprex] Box of 6 by Janssen,OMOP1032267,RxNorm Extension
44031222,Epoetin Alfa Injection [Eprex Solution Ml],OMOP1025853,RxNorm Extension
43297884,0.75 ML Epoetin Alfa 40000 UNT/ML Injection,OMOP560050,RxNorm Extension
43297469,0.8 ML Epoetin Alfa 10000 UNT/ML Injection,OMOP560084,RxNorm Extension
43292484,0.75 ML Epoetin Alfa 40000 UNT/ML Injection Box of 6,OMOP560051,RxNorm Extension
43292074,0.6 ML Epoetin Alfa 10000 UNT/ML Injection Box of 6,OMOP559946,RxNorm Extension
43292073,0.6 ML Epoetin Alfa 10000 UNT/ML Injection,OMOP559945,RxNorm Extension
43292018,0.5 ML Epoetin Alfa 10000 UNT/ML Injection Box of 6,OMOP559401,RxNorm Extension
43292017,0.5 ML Epoetin Alfa 4000 UNT/ML Injection Box of 6,OMOP559397,RxNorm Extension
43288143,Epoetin Alfa 4000 UNT/ML Injection Box of 6,OMOP530658,RxNorm Extension
43286634,0.5 ML Epoetin Alfa 4000 UNT/ML Injection,OMOP559396,RxNorm Extension
