concept_id,concept_name,concept_code,vocabulary_id,pcornet_vocabulary_id,ingredient
45178537,Nadolol 40 MG Oral Tablet [Corgard],3020750,NDC,ND,
45366453,Nadolol 40 MG Oral Tablet [Corgard],3020753,NDC,ND,
44855127,Nadolol 40 MG Oral Tablet [Corgard],3020767,NDC,ND,
45025421,Nadolol 40 MG Oral Tablet [Corgard],3020776,NDC,ND,
45298468,Nadolol 120 MG Oral Tablet [Corgard],3020850,NDC,ND,
45247117,Nadolol 120 MG Oral Tablet,3020853,NDC,ND,
44906493,Nadolol 120 MG Oral Tablet [Corgard],3020876,NDC,ND,
45281339,Nadolol 20 MG Oral Tablet [Corgard],3023215,NDC,ND,
45195642,Nadolol 20 MG Oral Tablet [Corgard],3023250,NDC,ND,
45110598,Nadolol 20 MG Oral Tablet [Corgard],3023251,NDC,ND,
44940463,Nadolol 80 MG Oral Tablet [Corgard],3024150,NDC,ND,
45332411,Nadolol 80 MG Oral Tablet [Corgard],3024155,NDC,ND,
45195643,Nadolol 80 MG Oral Tablet [Corgard],3024176,NDC,ND,
45110599,Nadolol 160 MG Oral Tablet [Corgard],3024649,NDC,ND,
45281340,Nadolol 160 MG Oral Tablet,3024653,NDC,ND,
45042464,Nadolol 160 MG Oral Tablet,3024676,NDC,ND,
45059585,Atenolol 50 MG Oral Tablet,3025624,NDC,ND,
45178538,Atenolol 100 MG Oral Tablet,3025774,NDC,ND,
45025423,Bendroflumethiazide 5 MG / Nadolol 40 MG Oral Tablet [Corzide 40/5],3028316,NDC,ND,
45110603,Bendroflumethiazide 5 MG / Nadolol 40 MG Oral Tablet [Corzide 40/5],3028350,NDC,ND,
45093578,Bendroflumethiazide 5 MG / Nadolol 40 MG Oral Tablet,3028351,NDC,ND,
45298469,Bendroflumethiazide 5 MG / Nadolol 40 MG Oral Tablet,3028370,NDC,ND,
45315483,Bendroflumethiazide 5 MG / Nadolol 80 MG Oral Tablet [Corzide 80/5],3028450,NDC,ND,
45076642,Bendroflumethiazide 5 MG / Nadolol 80 MG Oral Tablet,3028451,NDC,ND,
44889265,Bendroflumethiazide 5 MG / Nadolol 80 MG Oral Tablet,3028470,NDC,ND,
45161543,Atenolol 50 MG Oral Tablet,3504050,NDC,ND,
45076665,Atenolol 50 MG Oral Tablet,3504075,NDC,ND,
45315507,Atenolol 100 MG Oral Tablet,3524050,NDC,ND,
45264377,Propranolol Hydrochloride 60 MG Oral Tablet,5310223,NDC,ND,
45281379,Propranolol Hydrochloride 60 MG Oral Tablet,5310231,NDC,ND,
44837954,Propranolol Hydrochloride 10 MG Oral Tablet,5310923,NDC,ND,
45281380,Propranolol Hydrochloride 10 MG Oral Tablet,5310931,NDC,ND,
45298509,Propranolol Hydrochloride 20 MG Oral Tablet,5311023,NDC,ND,
45195686,Propranolol Hydrochloride 20 MG Oral Tablet,5311031,NDC,ND,
45161559,Propranolol Hydrochloride 40 MG Oral Tablet,5311123,NDC,ND,
44991158,Propranolol Hydrochloride 40 MG Oral Tablet,5311131,NDC,ND,
45349538,Propranolol Hydrochloride 80 MG Oral Tablet,5311223,NDC,ND,
44906531,Propranolol Hydrochloride 80 MG Oral Tablet,5311231,NDC,ND,
45178578,Atenolol 25 MG Oral Tablet,5321834,NDC,ND,
45076685,Atenolol 25 MG Oral Tablet,5321843,NDC,ND,
45366502,Atenolol 50 MG Oral Tablet,5321934,NDC,ND,
44974250,Atenolol 50 MG Oral Tablet,5321943,NDC,ND,
45161564,Atenolol 100 MG Oral Tablet,5322034,NDC,ND,
44974251,Atenolol 100 MG Oral Tablet,5322043,NDC,ND,
45059637,Bisoprolol Fumarate 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet [Ziac 5/6.25],5323423,NDC,ND,
45059638,Bisoprolol Fumarate 5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,5323438,NDC,ND,
45025460,Bisoprolol Fumarate 10 MG / Hydrochlorothiazide 6.25 MG Oral Tablet [Ziac 10/6.25],5323538,NDC,ND,
45298518,Bisoprolol Fumarate 2.5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet [Ziac 2.5/6.25],5323823,NDC,ND,
45144429,Bisoprolol Fumarate 2.5 MG / Hydrochlorothiazide 6.25 MG Oral Tablet,5323838,NDC,ND,
45230222,Bisoprolol Fumarate 5 MG Oral Tablet [Zebeta],5381638,NDC,ND,
45315543,Bisoprolol Fumarate 10 MG Oral Tablet [Zebeta],5381738,NDC,ND,
45008256,Timolol 5 MG Oral Tablet [Blocadren],6005968,NDC,ND,
44923491,Hydrochlorothiazide 25 MG / Timolol 10 MG Oral Tablet [Timolide],6006768,NDC,ND,
45093645,Timolol 10 MG Oral Tablet [Blocadren],6013628,NDC,ND,
45025492,Timolol 10 MG Oral Tablet [Blocadren],6013668,NDC,ND,
45298553,Timolol 20 MG Oral Tablet [Blocadren],6043768,NDC,ND,
44957280,"carvedilol phosphate 10mg/1 ORAL CAPSULE, EXTENDED RELEASE [coreg cr]",73370,NDC,ND,
44838032,24 HR carvedilol phosphate 10 MG Extended Release Oral Capsule [Coreg],7337013,NDC,ND,
45281449,24 HR carvedilol phosphate 10 MG Extended Release Capsule [Coreg],7337059,NDC,ND,
45349601,24 HR carvedilol phosphate 10 MG Extended Release Oral Capsule [Coreg],7337061,NDC,ND,
45264449,"carvedilol phosphate 20mg/1 ORAL CAPSULE, EXTENDED RELEASE [coreg cr]",73371,NDC,ND,
45281450,24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule [Coreg],7337113,NDC,ND,
45110728,24 HR carvedilol phosphate 20 MG Extended Release Capsule [Coreg],7337159,NDC,ND,
45349602,24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule [Coreg],7337161,NDC,ND,
45315597,"carvedilol phosphate 40mg/1 ORAL CAPSULE, EXTENDED RELEASE [coreg cr]",73372,NDC,ND,
44889393,24 HR carvedilol phosphate 40 MG Extended Release Oral Capsule [Coreg],7337213,NDC,ND,
45025534,24 HR carvedilol phosphate 40 MG Extended Release Capsule [Coreg],7337259,NDC,ND,
45059703,24 HR carvedilol phosphate 40 MG Extended Release Capsule [Coreg],7337261,NDC,ND,
45332513,"carvedilol phosphate 80mg/1 ORAL CAPSULE, EXTENDED RELEASE [coreg cr]",73373,NDC,ND,
45349603,24 HR carvedilol phosphate 80 MG Extended Release Oral Capsule [Coreg],7337313,NDC,ND,
45178636,24 HR carvedilol phosphate 80 MG Extended Release Capsule [Coreg],7337359,NDC,ND,
44940562,24 HR carvedilol phosphate 80 MG Extended Release Oral Capsule [Coreg],7337361,NDC,ND,
43051341,"carvedilol phosphate 10mg/1 ORAL CAPSULE, EXTENDED RELEASE [coreg cr]",73383,NDC,ND,
43051827,24 HR carvedilol phosphate 10 MG Extended Release Oral Capsule [Coreg],7338313,NDC,ND,
43051342,"carvedilol phosphate 20mg/1 ORAL CAPSULE, EXTENDED RELEASE [coreg cr]",73385,NDC,ND,
