concept_id,concept_name,concept_code,vocabulary_id,pcornet_vocabulary_id,ingredient
45178553,Diltiazem Hydrochloride 30 MG Oral Tablet,3525002,NDC,ND,
45315508,Diltiazem Hydrochloride 30 MG Oral Tablet,3525003,NDC,ND,
44940488,Diltiazem Hydrochloride 30 MG Oral Tablet,3525004,NDC,ND,
45366475,Diltiazem Hydrochloride 60 MG Oral Tablet,3555002,NDC,ND,
44855152,Diltiazem Hydrochloride 60 MG Oral Tablet,3555003,NDC,ND,
45110631,Diltiazem Hydrochloride 60 MG Oral Tablet,3555004,NDC,ND,
44872097,Diltiazem Hydrochloride 90 MG Oral Tablet,3577002,NDC,ND,
45315509,Diltiazem Hydrochloride 90 MG Oral Tablet,3577003,NDC,ND,
45349524,Diltiazem Hydrochloride 120 MG Oral Tablet,3585002,NDC,ND,
45366484,12 HR Nicardipine hydrochloride 30 MG Extended Release Capsule [Cardene],4018022,NDC,ND,
45093603,12 HR Nicardipine hydrochloride 30 MG Extended Release Capsule [Cardene],4018091,NDC,ND,
45212939,12 HR Nicardipine hydrochloride 45 MG Extended Release Capsule [Cardene],4018122,NDC,ND,
45247142,12 HR Nicardipine hydrochloride 45 MG Extended Release Capsule [Cardene],4018191,NDC,ND,
44837946,12 HR Nicardipine hydrochloride 60 MG Extended Release Capsule [Cardene],4018222,NDC,ND,
45332441,12 HR Nicardipine hydrochloride 60 MG Extended Release Capsule [Cardene],4018291,NDC,ND,
45298499,Nicardipine hydrochloride 20 MG Oral Capsule [Cardene],4018301,NDC,ND,
45161548,Nicardipine hydrochloride 20 MG Oral Capsule [Cardene],4018314,NDC,ND,
44855156,Nicardipine hydrochloride 20 MG Oral Capsule [Cardene],4018315,NDC,ND,
45042492,Nicardipine hydrochloride 30 MG Oral Capsule [Cardene],4018401,NDC,ND,
44974233,Nicardipine hydrochloride 30 MG Oral Capsule [Cardene],4018414,NDC,ND,
45281377,24 HR Verapamil hydrochloride 180 MG Extended Release Capsule [Verelan],5248923,NDC,ND,
45178570,24 HR Verapamil hydrochloride 120 MG Extended Release Capsule [Verelan],5249023,NDC,ND,
45281378,24 HR Verapamil hydrochloride 240 MG Extended Release Capsule [Verelan],5249123,NDC,ND,
45042502,24 HR Verapamil hydrochloride 360 MG Extended Release Capsule [Verelan],5249523,NDC,ND,
45076688,Diltiazem Hydrochloride 30 MG Oral Tablet,5333334,NDC,ND,
45281390,Diltiazem Hydrochloride 30 MG Oral Tablet,5333343,NDC,ND,
45298519,Diltiazem Hydrochloride 60 MG Oral Tablet,5333434,NDC,ND,
45298520,Diltiazem Hydrochloride 60 MG Oral Tablet,5333443,NDC,ND,
45230212,Diltiazem Hydrochloride 90 MG Oral Tablet,5333534,NDC,ND,
44906540,Diltiazem Hydrochloride 90 MG Oral Tablet,5333543,NDC,ND,
45195693,Diltiazem Hydrochloride 120 MG Oral Tablet,5333634,NDC,ND,
45178581,Diltiazem Hydrochloride 120 MG Oral Tablet,5333643,NDC,ND,
45161568,Verapamil hydrochloride 80 MG Oral Tablet,5344623,NDC,ND,
45008266,Felodipine 2.5 MG 24 Hour Extended Release Tablet [Plendil],6045007,NDC,ND,
45315561,Felodipine 2.5 MG 24 Hour Extended Release Tablet [Plendil],6045028,NDC,ND,
45093650,Felodipine 2.5 MG 24 Hour Extended Release Tablet [Plendil],6045031,NDC,ND,
45144458,Felodipine 2.5 MG 24 Hour Extended Release Tablet [Plendil],6045058,NDC,ND,
45093651,Felodipine 5 MG 24 Hour Extended Release Tablet [Plendil],6045107,NDC,ND,
