concept_id,concept_name,concept_code,vocabulary_id
40163907,24 HR amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Extended Release Oral Capsule,861237,RxNorm
40105363,amphetamine / dextroamphetamine Extended Release Oral Capsule [Adderall],540479,RxNorm
40009525,amphetamine / dextroamphetamine Extended Release Oral Capsule,378856,RxNorm
36119408,amphetamine 15 MG / dextroamphetamine 15 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP5048260,RxNorm Extension
36119407,amphetamine 15 MG / dextroamphetamine 15 MG Extended Release Oral Capsule [Adderall XR],OMOP5048259,RxNorm Extension
36119406,amphetamine 15 MG / dextroamphetamine 15 MG Extended Release Oral Capsule Box of 100,OMOP5048258,RxNorm Extension
36119405,amphetamine 15 MG / dextroamphetamine 15 MG Extended Release Oral Capsule,OMOP5048257,RxNorm Extension
36119404,amphetamine 12.5 MG / dextroamphetamine 12.5 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP5048256,RxNorm Extension
36119403,amphetamine 12.5 MG / dextroamphetamine 12.5 MG Extended Release Oral Capsule [Adderall XR],OMOP5048255,RxNorm Extension
36119402,amphetamine 12.5 MG / dextroamphetamine 12.5 MG Extended Release Oral Capsule,OMOP5048253,RxNorm Extension
36119401,amphetamine 10 MG / dextroamphetamine 10 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP5048252,RxNorm Extension
36119400,amphetamine 10 MG / dextroamphetamine 10 MG Extended Release Oral Capsule [Adderall XR],OMOP5048251,RxNorm Extension
36119399,amphetamine 10 MG / dextroamphetamine 10 MG Extended Release Oral Capsule Box of 100,OMOP5048250,RxNorm Extension
36119398,amphetamine 10 MG / dextroamphetamine 10 MG Extended Release Oral Capsule,OMOP5048249,RxNorm Extension
36119397,amphetamine 7.5 MG / dextroamphetamine 7.5 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP5048248,RxNorm Extension
36119396,amphetamine 7.5 MG / dextroamphetamine 7.5 MG Extended Release Oral Capsule [Adderall XR],OMOP5048247,RxNorm Extension
36119395,amphetamine 7.5 MG / dextroamphetamine 7.5 MG Extended Release Oral Capsule Box of 100,OMOP5048246,RxNorm Extension
36119394,amphetamine 7.5 MG / dextroamphetamine 7.5 MG Extended Release Oral Capsule,OMOP5048245,RxNorm Extension
36119389,amphetamine 5 MG / dextroamphetamine 5 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP5048240,RxNorm Extension
36119388,amphetamine 5 MG / dextroamphetamine 5 MG Extended Release Oral Capsule [Adderall XR],OMOP5048239,RxNorm Extension
36119387,amphetamine 5 MG / dextroamphetamine 5 MG Extended Release Oral Capsule Box of 100,OMOP5048238,RxNorm Extension
36119386,amphetamine 5 MG / dextroamphetamine 5 MG Extended Release Oral Capsule,OMOP5048237,RxNorm Extension
36119382,amphetamine 2.5 MG / dextroamphetamine 2.5 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP5048233,RxNorm Extension
36119381,amphetamine 2.5 MG / dextroamphetamine 2.5 MG Extended Release Oral Capsule [Adderall XR],OMOP5048232,RxNorm Extension
36119380,amphetamine 2.5 MG / dextroamphetamine 2.5 MG Extended Release Oral Capsule Box of 100,OMOP5048231,RxNorm Extension
36119379,amphetamine 2.5 MG / dextroamphetamine 2.5 MG Extended Release Oral Capsule,OMOP5048230,RxNorm Extension
36118632,amphetamine 12.5 MG / dextroamphetamine 12.5 MG Extended Release Oral Capsule Box of 100,OMOP5048254,RxNorm Extension
21172035,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule Box of 100,OMOP393671,RxNorm Extension
21172034,Amphetamine 10 MG / Dextroamphetamine 10 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP393654,RxNorm Extension
21162297,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule Box of 100,OMOP393658,RxNorm Extension
21142509,Amphetamine 12.5 MG / Dextroamphetamine 12.5 MG Extended Release Oral Capsule Box of 100,OMOP393644,RxNorm Extension
21132572,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Adderall XR],OMOP393639,RxNorm Extension
21122747,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP393641,RxNorm Extension
21113157,Amphetamine 10 MG / Dextroamphetamine 10 MG Extended Release Oral Capsule Box of 100,OMOP393651,RxNorm Extension
21103304,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP393674,RxNorm Extension
21103303,Amphetamine 10 MG / Dextroamphetamine 10 MG Extended Release Oral Capsule [Adderall XR],OMOP393652,RxNorm Extension
21083648,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule Box of 100,OMOP393638,RxNorm Extension
21083647,Amphetamine / Dextroamphetamine Extended Release Oral Capsule [Adderall XR],OMOP393634,RxNorm Extension
21073951,Amphetamine 15 MG / Dextroamphetamine 15 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP393668,RxNorm Extension
21073950,Amphetamine 15 MG / Dextroamphetamine 15 MG Extended Release Oral Capsule Box of 100,OMOP393664,RxNorm Extension
21064041,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP393661,RxNorm Extension
21054161,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Adderall XR],OMOP393672,RxNorm Extension
21054159,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Adderall XR],OMOP393659,RxNorm Extension
21054158,Amphetamine 12.5 MG / Dextroamphetamine 12.5 MG Extended Release Oral Capsule [Adderall XR] Box of 100,OMOP393648,RxNorm Extension
21044391,Amphetamine 15 MG / Dextroamphetamine 15 MG Extended Release Oral Capsule [Adderall XR],OMOP393665,RxNorm Extension
21034501,Amphetamine 12.5 MG / Dextroamphetamine 12.5 MG Extended Release Oral Capsule [Adderall XR],OMOP393645,RxNorm Extension
19121353,amphetamine aspartate 6.25 MG / amphetamine sulfate 6.25 MG / dextroamphetamine saccharate 6.25 MG / dextroamphetamine sulfate 6.25 MG Extended Release Oral Capsule,578406,RxNorm
19114181,amphetamine aspartate 3.75 MG/ML / amphetamine sulfate 3.75 MG/ML / dextroamphetamine saccharate 3.75 MG/ML / dextroamphetamine sulfate 3.75 MG/ML Extended Release Oral Capsule,543321,RxNorm
19113375,amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Extended Release Oral Capsule [Adderall],540480,RxNorm
1592946,3-Bead 24 HR amphetamine aspartate 9.375 MG / amphetamine sulfate 9.375 MG / dextroamphetamine saccharate 9.375 MG / dextroamphetamine sulfate 9.375 MG Extended Release Oral Capsule [Mydayis],1927639,RxNorm
1592944,3-Bead 24 HR amphetamine aspartate 9.375 MG / amphetamine sulfate 9.375 MG / dextroamphetamine saccharate 9.375 MG / dextroamphetamine sulfate 9.375 MG Extended Release Oral Capsule,1927637,RxNorm
1592939,3-Bead 24 HR amphetamine aspartate 3.125 MG / amphetamine sulfate 3.125 MG / dextroamphetamine saccharate 3.125 MG / dextroamphetamine sulfate 3.125 MG Extended Release Oral Capsule [Mydayis],1927632,RxNorm
1592792,3-Bead 24 HR amphetamine aspartate 3.125 MG / amphetamine sulfate 3.125 MG / dextroamphetamine saccharate 3.125 MG / dextroamphetamine sulfate 3.125 MG Extended Release Oral Capsule,1927630,RxNorm
1592788,3-Bead 24 HR amphetamine aspartate 6.25 MG / amphetamine sulfate 6.25 MG / dextroamphetamine saccharate 6.25 MG / dextroamphetamine sulfate 6.25 MG Extended Release Oral Capsule [Mydayis],1927619,RxNorm
1592786,3-Bead 24 HR amphetamine aspartate 6.25 MG / amphetamine sulfate 6.25 MG / dextroamphetamine saccharate 6.25 MG / dextroamphetamine sulfate 6.25 MG Extended Release Oral Capsule,1927617,RxNorm
1592785,3-Bead 24 HR amphetamine aspartate 12.5 MG / amphetamine sulfate 12.5 MG / dextroamphetamine saccharate 12.5 MG / dextroamphetamine sulfate 12.5 MG Extended Release Oral Capsule [Mydayis],1927616,RxNorm
1592782,amphetamine / dextroamphetamine Extended Release Oral Capsule [Mydayis],1927613,RxNorm
1592779,3-Bead 24 HR amphetamine aspartate 12.5 MG / amphetamine sulfate 12.5 MG / dextroamphetamine saccharate 12.5 MG / dextroamphetamine sulfate 12.5 MG Extended Release Oral Capsule,1927610,RxNorm
719506,amphetamine aspartate 6.25 MG / amphetamine sulfate 6.25 MG / dextroamphetamine saccharate 6.25 MG / dextroamphetamine sulfate 6.25 MG Extended Release Oral Capsule [Adderall],744896,RxNorm
719502,amphetamine aspartate 2.5 MG / amphetamine sulfate 2.5 MG / dextroamphetamine saccharate 2.5 MG / dextroamphetamine sulfate 2.5 MG Extended Release Oral Capsule,646461,RxNorm
719447,amphetamine aspartate 7.5 MG / amphetamine sulfate 7.5 MG / dextroamphetamine saccharate 7.5 MG / dextroamphetamine sulfate 7.5 MG Extended Release Oral Capsule,578548,RxNorm
719443,amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule,578399,RxNorm
719421,amphetamine aspartate 3.75 MG / amphetamine sulfate 3.75 MG / dextroamphetamine saccharate 3.75 MG / dextroamphetamine sulfate 3.75 MG Extended Release Oral Capsule,578394,RxNorm
719379,amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule [Adderall],541773,RxNorm
714881,amphetamine aspartate 7.5 MG / amphetamine sulfate 7.5 MG / dextroamphetamine saccharate 7.5 MG / dextroamphetamine sulfate 7.5 MG Extended Release Oral Capsule [Adderall],744897,RxNorm
714877,amphetamine aspartate 2.5 MG / amphetamine sulfate 2.5 MG / dextroamphetamine saccharate 2.5 MG / dextroamphetamine sulfate 2.5 MG Extended Release Oral Capsule [Adderall],646462,RxNorm
714876,amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Extended Release Oral Capsule,578552,RxNorm
714872,amphetamine aspartate 3.75 MG / amphetamine sulfate 3.75 MG / dextroamphetamine saccharate 3.75 MG / dextroamphetamine sulfate 3.75 MG Extended Release Oral Capsule [Adderall],578397,RxNorm
44129587,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr] by Sandoz,OMOP1124218,RxNorm Extension
44129586,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr] by Sandoz,OMOP1124217,RxNorm Extension
44129585,Amphetamine 6.25 MG / Dextroamphetamine 6.25 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr] by Sandoz,OMOP1124216,RxNorm Extension
44126202,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Adderall-XR],OMOP1120833,RxNorm Extension
44126201,Amphetamine 1.25 MG / Dextroamphetamine 1.25 MG Extended Release Oral Capsule [Adderall-XR],OMOP1120832,RxNorm Extension
44124123,Amphetamine 1.25 MG / Dextroamphetamine 1.25 MG Extended Release Oral Capsule,OMOP1118754,RxNorm Extension
44116399,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Pms-Amphetamines Xr] by Pharmascience,OMOP1111030,RxNorm Extension
44116398,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr] by Sandoz,OMOP1111029,RxNorm Extension
44116397,Amphetamine 3.75 MG / Dextroamphetamine 3.75 MG Extended Release Oral Capsule [Adderall-XR] by Shire,OMOP1111028,RxNorm Extension
44116396,Amphetamine 3.75 MG / Dextroamphetamine 3.75 MG Extended Release Oral Capsule [Pms-Amphetamines Xr] by Pharmascience,OMOP1111027,RxNorm Extension
44116395,Amphetamine 6.25 MG / Dextroamphetamine 6.25 MG Extended Release Oral Capsule [Act Amphetamine Xr] by Actavis,OMOP1111026,RxNorm Extension
44116394,Amphetamine 1.25 MG / Dextroamphetamine 1.25 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr] by Sandoz,OMOP1111025,RxNorm Extension
44113053,Amphetamine 3.75 MG / Dextroamphetamine 3.75 MG Extended Release Oral Capsule [Pms-Amphetamines Xr],OMOP1107684,RxNorm Extension
44113052,Amphetamine 6.25 MG / Dextroamphetamine 6.25 MG Extended Release Oral Capsule [Pms-Amphetamines Xr],OMOP1107683,RxNorm Extension
44109401,Amphetamine / Dextroamphetamine Extended Release Oral Capsule [Sandoz Amphetamine Xr],OMOP1104032,RxNorm Extension
44103597,Amphetamine 3.75 MG / Dextroamphetamine 3.75 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr] by Sandoz,OMOP1098228,RxNorm Extension
44103596,Amphetamine 1.25 MG / Dextroamphetamine 1.25 MG Extended Release Oral Capsule [Adderall-XR] by Shire,OMOP1098227,RxNorm Extension
44103595,Amphetamine 1.25 MG / Dextroamphetamine 1.25 MG Extended Release Oral Capsule [Pms-Amphetamines Xr] by Pharmascience,OMOP1098226,RxNorm Extension
44100226,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr],OMOP1094857,RxNorm Extension
44100225,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr],OMOP1094856,RxNorm Extension
44090604,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Act Amphetamine Xr] by Actavis,OMOP1085235,RxNorm Extension
44087192,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Act Amphetamine Xr],OMOP1081823,RxNorm Extension
44087191,Amphetamine 3.75 MG / Dextroamphetamine 3.75 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr],OMOP1081822,RxNorm Extension
44083608,Amphetamine / Dextroamphetamine Extended Release Oral Capsule [Act Amphetamine Xr],OMOP1078239,RxNorm Extension
44077665,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Act Amphetamine Xr] by Actavis,OMOP1072296,RxNorm Extension
44077664,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Pms-Amphetamines Xr] by Pharmascience,OMOP1072295,RxNorm Extension
44074339,Amphetamine 3.75 MG / Dextroamphetamine 3.75 MG Extended Release Oral Capsule [Act Amphetamine Xr],OMOP1068970,RxNorm Extension
44074338,Amphetamine 6.25 MG / Dextroamphetamine 6.25 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr],OMOP1068969,RxNorm Extension
